Sold to ID,Ship to ID,Material ID,Price
CUST-001,SHIP-001-NL,MAT-1001,268.68
CUST-001,SHIP-001-BE,MAT-1001,269.98
CUST-014,SHIP-014-DE,MAT-1001,346.80
CUST-014,SHIP-014-PL,MAT-1001,345.37
CUST-027,SHIP-027-FR,MAT-1001,544.27
CUST-027,SHIP-027-BE,MAT-1001,540.36
CUST-038,SHIP-038-LT,MAT-1001,608852.29
CUST-038,SHIP-038-EE,MAT-1001,604916.60
CUST-052,SHIP-052-ES,MAT-1001,3583.26
CUST-052,SHIP-052-PT,MAT-1001,3603.94
CUST-073,SHIP-073-SE,MAT-1001,535.78
CUST-073,SHIP-073-DK,MAT-1001,530.53
CUST-001,SHIP-001-NL,MAT-2004,337.42
CUST-001,SHIP-001-BE,MAT-2004,338.73
CUST-014,SHIP-014-DE,MAT-2004,421.52
CUST-014,SHIP-014-PL,MAT-2004,420.09
CUST-027,SHIP-027-FR,MAT-2004,646.65
CUST-027,SHIP-027-BE,MAT-2004,642.73
CUST-038,SHIP-038-LT,MAT-2004,711967.55
CUST-038,SHIP-038-EE,MAT-2004,708031.85
CUST-052,SHIP-052-ES,MAT-2004,4125.00
CUST-052,SHIP-052-PT,MAT-2004,4145.67
CUST-073,SHIP-073-SE,MAT-2004,604.53
CUST-073,SHIP-073-DK,MAT-2004,599.28
CUST-001,SHIP-001-NL,MAT-3098,200.45
CUST-001,SHIP-001-BE,MAT-3098,201.77
CUST-014,SHIP-014-DE,MAT-3098,272.65
CUST-014,SHIP-014-PL,MAT-3098,271.22
CUST-027,SHIP-027-FR,MAT-3098,442.68
CUST-027,SHIP-027-BE,MAT-3098,438.78
CUST-038,SHIP-038-LT,MAT-3098,506524.17
CUST-038,SHIP-038-EE,MAT-3098,502588.48
CUST-052,SHIP-052-ES,MAT-3098,3045.67
CUST-052,SHIP-052-PT,MAT-3098,3066.35
CUST-073,SHIP-073-SE,MAT-3098,467.57
CUST-073,SHIP-073-DK,MAT-3098,462.31
CUST-001,SHIP-001-NL,MAT-4120,447.36
CUST-001,SHIP-001-BE,MAT-4120,448.67
CUST-014,SHIP-014-DE,MAT-4120,541.01
CUST-014,SHIP-014-PL,MAT-4120,539.59
CUST-027,SHIP-027-FR,MAT-4120,810.36
CUST-027,SHIP-027-BE,MAT-4120,806.44
CUST-038,SHIP-038-LT,MAT-4120,876873.24
CUST-038,SHIP-038-EE,MAT-4120,872937.55
CUST-052,SHIP-052-ES,MAT-4120,4991.35
CUST-052,SHIP-052-PT,MAT-4120,5012.03
CUST-073,SHIP-073-SE,MAT-4120,714.46
CUST-073,SHIP-073-DK,MAT-4120,709.21
CUST-001,SHIP-001-NL,MAT-5185,106.00
CUST-001,SHIP-001-BE,MAT-5185,107.32
CUST-014,SHIP-014-DE,MAT-5185,169.97
CUST-014,SHIP-014-PL,MAT-5185,168.55
CUST-027,SHIP-027-FR,MAT-5185,302.03
CUST-027,SHIP-027-BE,MAT-5185,298.12
CUST-038,SHIP-038-LT,MAT-5185,364839.09
CUST-038,SHIP-038-EE,MAT-5185,360903.40
CUST-052,SHIP-052-ES,MAT-5185,2301.31
CUST-052,SHIP-052-PT,MAT-5185,2321.99
CUST-073,SHIP-073-SE,MAT-5185,373.11
CUST-073,SHIP-073-DK,MAT-5185,367.85
