Plant,Material ID,Period,Cost
PLANT-01,MAT-1001,2026-01,144.67
PLANT-01,MAT-1001,2026-02,146.78
PLANT-01,MAT-1001,2026-03,146.69
PLANT-01,MAT-1001,2026-04,150.3
PLANT-01,MAT-1001,2026-05,148.69
PLANT-01,MAT-1001,2026-06,153.84
PLANT-01,MAT-1001,2026-07,150.66
PLANT-01,MAT-1001,2026-08,157.42
PLANT-01,MAT-1001,2026-09,152.6
PLANT-01,MAT-1001,2026-10,161.02
PLANT-01,MAT-1001,2026-11,154.51
PLANT-01,MAT-2004,2026-01,172.73
PLANT-01,MAT-2004,2026-02,174.98
PLANT-01,MAT-2004,2026-03,174.61
PLANT-01,MAT-2004,2026-04,178.64
PLANT-01,MAT-2004,2026-05,176.47
PLANT-01,MAT-2004,2026-06,182.32
PLANT-01,MAT-2004,2026-07,178.29
PLANT-01,MAT-2004,2026-08,186.04
PLANT-01,MAT-2004,2026-09,180.09
PLANT-01,MAT-2004,2026-10,189.78
PLANT-01,MAT-2004,2026-11,181.87
PLANT-01,MAT-3098,2026-01,107.87
PLANT-01,MAT-3098,2026-02,109.8
PLANT-01,MAT-3098,2026-03,110.08
PLANT-01,MAT-3098,2026-04,113.13
PLANT-01,MAT-3098,2026-05,112.26
PLANT-01,MAT-3098,2026-06,116.49
PLANT-01,MAT-3098,2026-07,114.41
PLANT-01,MAT-3098,2026-08,119.88
PLANT-01,MAT-3098,2026-09,116.53
PLANT-01,MAT-3098,2026-10,123.3
PLANT-01,MAT-3098,2026-11,118.63
PLANT-01,MAT-4120,2026-01,227.7
PLANT-01,MAT-4120,2026-02,230.23
PLANT-01,MAT-4120,2026-03,229.31
PLANT-01,MAT-4120,2026-04,234.16
PLANT-01,MAT-4120,2026-05,230.89
PLANT-01,MAT-4120,2026-06,238.12
PLANT-01,MAT-4120,2026-07,232.44
PLANT-01,MAT-4120,2026-08,242.11
PLANT-01,MAT-4120,2026-09,233.97
PLANT-01,MAT-4120,2026-10,246.12
PLANT-01,MAT-4120,2026-11,235.46
PLANT-01,MAT-5185,2026-01,57.27
PLANT-01,MAT-5185,2026-02,58.94
PLANT-01,MAT-5185,2026-03,59.73
PLANT-01,MAT-5185,2026-04,62.02
PLANT-01,MAT-5185,2026-05,62.16
PLANT-01,MAT-5185,2026-06,65.13
PLANT-01,MAT-5185,2026-07,64.57
PLANT-01,MAT-5185,2026-08,68.27
PLANT-01,MAT-5185,2026-09,66.94
PLANT-01,MAT-5185,2026-10,71.43
PLANT-01,MAT-5185,2026-11,69.29
PLANT-02,MAT-1001,2026-01,149.96
PLANT-02,MAT-1001,2026-02,152.1
PLANT-02,MAT-1001,2026-03,151.96
PLANT-02,MAT-1001,2026-04,155.64
PLANT-02,MAT-1001,2026-05,153.93
PLANT-02,MAT-1001,2026-06,159.21
PLANT-02,MAT-1001,2026-07,155.87
PLANT-02,MAT-1001,2026-08,162.81
PLANT-02,MAT-1001,2026-09,157.78
PLANT-02,MAT-1001,2026-10,166.44
PLANT-02,MAT-1001,2026-11,159.67
PLANT-02,MAT-2004,2026-01,178.02
PLANT-02,MAT-2004,2026-02,180.3
PLANT-02,MAT-2004,2026-03,179.88
PLANT-02,MAT-2004,2026-04,183.98
PLANT-02,MAT-2004,2026-05,181.7
PLANT-02,MAT-2004,2026-06,187.69
PLANT-02,MAT-2004,2026-07,183.51
PLANT-02,MAT-2004,2026-08,191.43
PLANT-02,MAT-2004,2026-09,185.28
PLANT-02,MAT-2004,2026-10,195.2
PLANT-02,MAT-2004,2026-11,187.02
PLANT-02,MAT-3098,2026-01,113.16
PLANT-02,MAT-3098,2026-02,115.11
PLANT-02,MAT-3098,2026-03,115.34
PLANT-02,MAT-3098,2026-04,118.47
PLANT-02,MAT-3098,2026-05,117.49
PLANT-02,MAT-3098,2026-06,121.86
PLANT-02,MAT-3098,2026-07,119.62
PLANT-02,MAT-3098,2026-08,125.28
PLANT-02,MAT-3098,2026-09,121.72
PLANT-02,MAT-3098,2026-10,128.72
PLANT-02,MAT-3098,2026-11,123.79
PLANT-02,MAT-4120,2026-01,232.99
PLANT-02,MAT-4120,2026-02,235.54
PLANT-02,MAT-4120,2026-03,234.57
PLANT-02,MAT-4120,2026-04,239.5
PLANT-02,MAT-4120,2026-05,236.12
PLANT-02,MAT-4120,2026-06,243.49
PLANT-02,MAT-4120,2026-07,237.65
PLANT-02,MAT-4120,2026-08,247.5
PLANT-02,MAT-4120,2026-09,239.15
PLANT-02,MAT-4120,2026-10,251.55
PLANT-02,MAT-4120,2026-11,240.62
PLANT-02,MAT-5185,2026-01,62.56
PLANT-02,MAT-5185,2026-02,64.26
PLANT-02,MAT-5185,2026-03,64.99
PLANT-02,MAT-5185,2026-04,67.37
PLANT-02,MAT-5185,2026-05,67.4
PLANT-02,MAT-5185,2026-06,70.5
PLANT-02,MAT-5185,2026-07,69.78
PLANT-02,MAT-5185,2026-08,73.66
PLANT-02,MAT-5185,2026-09,72.13
PLANT-02,MAT-5185,2026-10,76.85
PLANT-02,MAT-5185,2026-11,74.45
PLANT-03,MAT-1001,2026-01,155.25
PLANT-03,MAT-1001,2026-02,157.41
PLANT-03,MAT-1001,2026-03,157.22
PLANT-03,MAT-1001,2026-04,160.98
PLANT-03,MAT-1001,2026-05,159.16
PLANT-03,MAT-1001,2026-06,164.58
PLANT-03,MAT-1001,2026-07,161.08
PLANT-03,MAT-1001,2026-08,168.21
PLANT-03,MAT-1001,2026-09,162.96
PLANT-03,MAT-1001,2026-10,171.86
PLANT-03,MAT-1001,2026-11,164.82
PLANT-03,MAT-2004,2026-01,183.31
PLANT-03,MAT-2004,2026-02,185.61
PLANT-03,MAT-2004,2026-03,185.14
PLANT-03,MAT-2004,2026-04,189.32
PLANT-03,MAT-2004,2026-05,186.94
PLANT-03,MAT-2004,2026-06,193.06
PLANT-03,MAT-2004,2026-07,188.72
PLANT-03,MAT-2004,2026-08,196.83
PLANT-03,MAT-2004,2026-09,190.46
PLANT-03,MAT-2004,2026-10,200.62
PLANT-03,MAT-2004,2026-11,192.18
PLANT-03,MAT-3098,2026-01,118.45
PLANT-03,MAT-3098,2026-02,120.43
PLANT-03,MAT-3098,2026-03,120.6
PLANT-03,MAT-3098,2026-04,123.82
PLANT-03,MAT-3098,2026-05,122.73
PLANT-03,MAT-3098,2026-06,127.23
PLANT-03,MAT-3098,2026-07,124.83
PLANT-03,MAT-3098,2026-08,130.67
PLANT-03,MAT-3098,2026-09,126.9
PLANT-03,MAT-3098,2026-10,134.14
PLANT-03,MAT-3098,2026-11,128.94
PLANT-03,MAT-4120,2026-01,238.28
PLANT-03,MAT-4120,2026-02,240.86
PLANT-03,MAT-4120,2026-03,239.83
PLANT-03,MAT-4120,2026-04,244.84
PLANT-03,MAT-4120,2026-05,241.36
PLANT-03,MAT-4120,2026-06,248.86
PLANT-03,MAT-4120,2026-07,242.86
PLANT-03,MAT-4120,2026-08,252.9
PLANT-03,MAT-4120,2026-09,244.33
PLANT-03,MAT-4120,2026-10,256.97
PLANT-03,MAT-4120,2026-11,245.78
PLANT-03,MAT-5185,2026-01,67.85
PLANT-03,MAT-5185,2026-02,69.58
PLANT-03,MAT-5185,2026-03,70.26
PLANT-03,MAT-5185,2026-04,72.71
PLANT-03,MAT-5185,2026-05,72.64
PLANT-03,MAT-5185,2026-06,75.87
PLANT-03,MAT-5185,2026-07,74.99
PLANT-03,MAT-5185,2026-08,79.06
PLANT-03,MAT-5185,2026-09,77.31
PLANT-03,MAT-5185,2026-10,82.28
PLANT-03,MAT-5185,2026-11,79.61
PLANT-04,MAT-1001,2026-01,160.54
PLANT-04,MAT-1001,2026-02,162.73
PLANT-04,MAT-1001,2026-03,162.48
PLANT-04,MAT-1001,2026-04,166.33
PLANT-04,MAT-1001,2026-05,164.4
PLANT-04,MAT-1001,2026-06,169.95
PLANT-04,MAT-1001,2026-07,166.29
PLANT-04,MAT-1001,2026-08,173.6
PLANT-04,MAT-1001,2026-09,168.15
PLANT-04,MAT-1001,2026-10,177.28
PLANT-04,MAT-1001,2026-11,169.98
PLANT-04,MAT-2004,2026-01,188.6
PLANT-04,MAT-2004,2026-02,190.93
PLANT-04,MAT-2004,2026-03,190.4
PLANT-04,MAT-2004,2026-04,194.67
PLANT-04,MAT-2004,2026-05,192.18
PLANT-04,MAT-2004,2026-06,198.43
PLANT-04,MAT-2004,2026-07,193.93
PLANT-04,MAT-2004,2026-08,202.23
PLANT-04,MAT-2004,2026-09,195.65
PLANT-04,MAT-2004,2026-10,206.05
PLANT-04,MAT-2004,2026-11,197.34
PLANT-04,MAT-3098,2026-01,123.74
PLANT-04,MAT-3098,2026-02,125.75
PLANT-04,MAT-3098,2026-03,125.87
PLANT-04,MAT-3098,2026-04,129.16
PLANT-04,MAT-3098,2026-05,127.97
PLANT-04,MAT-3098,2026-06,132.6
PLANT-04,MAT-3098,2026-07,130.04
PLANT-04,MAT-3098,2026-08,136.07
PLANT-04,MAT-3098,2026-09,132.08
PLANT-04,MAT-3098,2026-10,139.56
PLANT-04,MAT-3098,2026-11,134.1
PLANT-04,MAT-4120,2026-01,243.57
PLANT-04,MAT-4120,2026-02,246.17
PLANT-04,MAT-4120,2026-03,245.1
PLANT-04,MAT-4120,2026-04,250.19
PLANT-04,MAT-4120,2026-05,246.6
PLANT-04,MAT-4120,2026-06,254.23
PLANT-04,MAT-4120,2026-07,248.07
PLANT-04,MAT-4120,2026-08,258.29
PLANT-04,MAT-4120,2026-09,249.52
PLANT-04,MAT-4120,2026-10,262.39
PLANT-04,MAT-4120,2026-11,250.94
PLANT-04,MAT-5185,2026-01,73.14
PLANT-04,MAT-5185,2026-02,74.89
PLANT-04,MAT-5185,2026-03,75.52
PLANT-04,MAT-5185,2026-04,78.05
PLANT-04,MAT-5185,2026-05,77.87
PLANT-04,MAT-5185,2026-06,81.24
PLANT-04,MAT-5185,2026-07,80.2
PLANT-04,MAT-5185,2026-08,84.46
PLANT-04,MAT-5185,2026-09,82.5
PLANT-04,MAT-5185,2026-10,87.7
PLANT-04,MAT-5185,2026-11,84.77
PLANT-05,MAT-1001,2026-01,165.83
PLANT-05,MAT-1001,2026-02,168.05
PLANT-05,MAT-1001,2026-03,167.75
PLANT-05,MAT-1001,2026-04,171.67
PLANT-05,MAT-1001,2026-05,169.64
PLANT-05,MAT-1001,2026-06,175.32
PLANT-05,MAT-1001,2026-07,171.5
PLANT-05,MAT-1001,2026-08,179.0
PLANT-05,MAT-1001,2026-09,173.33
PLANT-05,MAT-1001,2026-10,182.71
PLANT-05,MAT-1001,2026-11,175.14
PLANT-05,MAT-2004,2026-01,193.89
PLANT-05,MAT-2004,2026-02,196.25
PLANT-05,MAT-2004,2026-03,195.67
PLANT-05,MAT-2004,2026-04,200.01
PLANT-05,MAT-2004,2026-05,197.42
PLANT-05,MAT-2004,2026-06,203.8
PLANT-05,MAT-2004,2026-07,199.14
PLANT-05,MAT-2004,2026-08,207.62
PLANT-05,MAT-2004,2026-09,200.83
PLANT-05,MAT-2004,2026-10,211.47
PLANT-05,MAT-2004,2026-11,202.5
PLANT-05,MAT-3098,2026-01,129.03
PLANT-05,MAT-3098,2026-02,131.06
PLANT-05,MAT-3098,2026-03,131.13
PLANT-05,MAT-3098,2026-04,134.5
PLANT-05,MAT-3098,2026-05,133.2
PLANT-05,MAT-3098,2026-06,137.97
PLANT-05,MAT-3098,2026-07,135.25
PLANT-05,MAT-3098,2026-08,141.46
PLANT-05,MAT-3098,2026-09,137.27
PLANT-05,MAT-3098,2026-10,144.99
PLANT-05,MAT-3098,2026-11,139.26
PLANT-05,MAT-4120,2026-01,248.86
PLANT-05,MAT-4120,2026-02,251.49
PLANT-05,MAT-4120,2026-03,250.36
PLANT-05,MAT-4120,2026-04,255.53
PLANT-05,MAT-4120,2026-05,251.84
PLANT-05,MAT-4120,2026-06,259.6
PLANT-05,MAT-4120,2026-07,253.28
PLANT-05,MAT-4120,2026-08,263.69
PLANT-05,MAT-4120,2026-09,254.7
PLANT-05,MAT-4120,2026-10,267.81
PLANT-05,MAT-4120,2026-11,256.09
PLANT-05,MAT-5185,2026-01,78.43
PLANT-05,MAT-5185,2026-02,80.21
PLANT-05,MAT-5185,2026-03,80.78
PLANT-05,MAT-5185,2026-04,83.4
PLANT-05,MAT-5185,2026-05,83.11
PLANT-05,MAT-5185,2026-06,86.61
PLANT-05,MAT-5185,2026-07,85.41
PLANT-05,MAT-5185,2026-08,89.85
PLANT-05,MAT-5185,2026-09,87.68
PLANT-05,MAT-5185,2026-10,93.12
PLANT-05,MAT-5185,2026-11,89.92
PLANT-06,MAT-1001,2026-01,171.12
PLANT-06,MAT-1001,2026-02,173.36
PLANT-06,MAT-1001,2026-03,173.01
PLANT-06,MAT-1001,2026-04,177.01
PLANT-06,MAT-1001,2026-05,174.87
PLANT-06,MAT-1001,2026-06,180.69
PLANT-06,MAT-1001,2026-07,176.71
PLANT-06,MAT-1001,2026-08,184.4
PLANT-06,MAT-1001,2026-09,178.52
PLANT-06,MAT-1001,2026-10,188.13
PLANT-06,MAT-1001,2026-11,180.3
PLANT-06,MAT-2004,2026-01,199.18
PLANT-06,MAT-2004,2026-02,201.56
PLANT-06,MAT-2004,2026-03,200.93
PLANT-06,MAT-2004,2026-04,205.35
PLANT-06,MAT-2004,2026-05,202.65
PLANT-06,MAT-2004,2026-06,209.17
PLANT-06,MAT-2004,2026-07,204.35
PLANT-06,MAT-2004,2026-08,213.02
PLANT-06,MAT-2004,2026-09,206.02
PLANT-06,MAT-2004,2026-10,216.89
PLANT-06,MAT-2004,2026-11,207.66
PLANT-06,MAT-3098,2026-01,134.32
PLANT-06,MAT-3098,2026-02,136.38
PLANT-06,MAT-3098,2026-03,136.39
PLANT-06,MAT-3098,2026-04,139.84
PLANT-06,MAT-3098,2026-05,138.44
PLANT-06,MAT-3098,2026-06,143.34
PLANT-06,MAT-3098,2026-07,140.46
PLANT-06,MAT-3098,2026-08,146.86
PLANT-06,MAT-3098,2026-09,142.45
PLANT-06,MAT-3098,2026-10,150.41
PLANT-06,MAT-3098,2026-11,144.42
PLANT-06,MAT-4120,2026-01,254.15
PLANT-06,MAT-4120,2026-02,256.81
PLANT-06,MAT-4120,2026-03,255.63
PLANT-06,MAT-4120,2026-04,260.87
PLANT-06,MAT-4120,2026-05,257.07
PLANT-06,MAT-4120,2026-06,264.97
PLANT-06,MAT-4120,2026-07,258.49
PLANT-06,MAT-4120,2026-08,269.09
