Plant,Material ID,Period,Cost
PLANT-01,MAT-1001,2026-01,149.67
PLANT-01,MAT-1001,2026-02,151.78
PLANT-01,MAT-1001,2026-03,151.69
PLANT-01,MAT-1001,2026-04,155.3
PLANT-01,MAT-1001,2026-05,153.69
PLANT-01,MAT-1001,2026-06,158.84
PLANT-01,MAT-1001,2026-07,155.66
PLANT-01,MAT-1001,2026-08,162.42
PLANT-01,MAT-1001,2026-09,157.6
PLANT-01,MAT-1001,2026-10,166.02
PLANT-01,MAT-1001,2026-11,159.51
PLANT-01,MAT-1001,2026-12,164.85
PLANT-01,MAT-2004,2026-01,177.73
PLANT-01,MAT-2004,2026-02,179.98
PLANT-01,MAT-2004,2026-03,179.61
PLANT-01,MAT-2004,2026-04,183.64
PLANT-01,MAT-2004,2026-05,181.47
PLANT-01,MAT-2004,2026-06,187.32
PLANT-01,MAT-2004,2026-07,183.29
PLANT-01,MAT-2004,2026-08,191.04
PLANT-01,MAT-2004,2026-09,185.09
PLANT-01,MAT-2004,2026-10,194.78
PLANT-01,MAT-2004,2026-11,186.87
PLANT-01,MAT-2004,2026-12,192.91
PLANT-01,MAT-3098,2026-01,112.87
PLANT-01,MAT-3098,2026-02,114.8
PLANT-01,MAT-3098,2026-03,115.08
PLANT-01,MAT-3098,2026-04,118.13
PLANT-01,MAT-3098,2026-05,117.26
PLANT-01,MAT-3098,2026-06,121.49
PLANT-01,MAT-3098,2026-07,119.41
PLANT-01,MAT-3098,2026-08,124.88
PLANT-01,MAT-3098,2026-09,121.53
PLANT-01,MAT-3098,2026-10,128.3
PLANT-01,MAT-3098,2026-11,123.63
PLANT-01,MAT-3098,2026-12,128.05
PLANT-01,MAT-4120,2026-01,232.7
PLANT-01,MAT-4120,2026-02,235.23
PLANT-01,MAT-4120,2026-03,234.31
PLANT-01,MAT-4120,2026-04,239.16
PLANT-01,MAT-4120,2026-05,235.89
PLANT-01,MAT-4120,2026-06,243.12
PLANT-01,MAT-4120,2026-07,237.44
PLANT-01,MAT-4120,2026-08,247.11
PLANT-01,MAT-4120,2026-09,238.97
PLANT-01,MAT-4120,2026-10,251.12
PLANT-01,MAT-4120,2026-11,240.46
PLANT-01,MAT-4120,2026-12,247.88
PLANT-01,MAT-5185,2026-01,62.27
PLANT-01,MAT-5185,2026-02,63.94
PLANT-01,MAT-5185,2026-03,64.73
PLANT-01,MAT-5185,2026-04,67.02
PLANT-01,MAT-5185,2026-05,67.16
PLANT-01,MAT-5185,2026-06,70.13
PLANT-01,MAT-5185,2026-07,69.57
PLANT-01,MAT-5185,2026-08,73.27
PLANT-01,MAT-5185,2026-09,71.94
PLANT-01,MAT-5185,2026-10,76.43
PLANT-01,MAT-5185,2026-11,74.29
PLANT-01,MAT-5185,2026-12,77.45
PLANT-02,MAT-1001,2026-01,154.96
PLANT-02,MAT-1001,2026-02,157.1
PLANT-02,MAT-1001,2026-03,156.96
PLANT-02,MAT-1001,2026-04,160.64
PLANT-02,MAT-1001,2026-05,158.93
PLANT-02,MAT-1001,2026-06,164.21
PLANT-02,MAT-1001,2026-07,160.87
PLANT-02,MAT-1001,2026-08,167.81
PLANT-02,MAT-1001,2026-09,162.78
PLANT-02,MAT-1001,2026-10,171.44
PLANT-02,MAT-1001,2026-11,164.67
PLANT-02,MAT-1001,2026-12,170.14
PLANT-02,MAT-2004,2026-01,183.02
PLANT-02,MAT-2004,2026-02,185.3
PLANT-02,MAT-2004,2026-03,184.88
PLANT-02,MAT-2004,2026-04,188.98
PLANT-02,MAT-2004,2026-05,186.7
PLANT-02,MAT-2004,2026-06,192.69
PLANT-02,MAT-2004,2026-07,188.51
PLANT-02,MAT-2004,2026-08,196.43
PLANT-02,MAT-2004,2026-09,190.28
PLANT-02,MAT-2004,2026-10,200.2
PLANT-02,MAT-2004,2026-11,192.02
PLANT-02,MAT-2004,2026-12,198.2
PLANT-02,MAT-3098,2026-01,118.16
PLANT-02,MAT-3098,2026-02,120.11
PLANT-02,MAT-3098,2026-03,120.34
PLANT-02,MAT-3098,2026-04,123.47
PLANT-02,MAT-3098,2026-05,122.49
PLANT-02,MAT-3098,2026-06,126.86
PLANT-02,MAT-3098,2026-07,124.62
PLANT-02,MAT-3098,2026-08,130.28
PLANT-02,MAT-3098,2026-09,126.72
PLANT-02,MAT-3098,2026-10,133.72
PLANT-02,MAT-3098,2026-11,128.79
PLANT-02,MAT-3098,2026-12,133.34
PLANT-02,MAT-4120,2026-01,237.99
PLANT-02,MAT-4120,2026-02,240.54
PLANT-02,MAT-4120,2026-03,239.57
PLANT-02,MAT-4120,2026-04,244.5
PLANT-02,MAT-4120,2026-05,241.12
PLANT-02,MAT-4120,2026-06,248.49
PLANT-02,MAT-4120,2026-07,242.65
PLANT-02,MAT-4120,2026-08,252.5
PLANT-02,MAT-4120,2026-09,244.15
PLANT-02,MAT-4120,2026-10,256.55
PLANT-02,MAT-4120,2026-11,245.62
PLANT-02,MAT-4120,2026-12,253.17
PLANT-02,MAT-5185,2026-01,67.56
PLANT-02,MAT-5185,2026-02,69.26
PLANT-02,MAT-5185,2026-03,69.99
PLANT-02,MAT-5185,2026-04,72.37
PLANT-02,MAT-5185,2026-05,72.4
PLANT-02,MAT-5185,2026-06,75.5
PLANT-02,MAT-5185,2026-07,74.78
PLANT-02,MAT-5185,2026-08,78.66
PLANT-02,MAT-5185,2026-09,77.13
PLANT-02,MAT-5185,2026-10,81.85
PLANT-02,MAT-5185,2026-11,79.45
PLANT-02,MAT-5185,2026-12,82.74
PLANT-03,MAT-1001,2026-01,160.25
PLANT-03,MAT-1001,2026-02,162.41
PLANT-03,MAT-1001,2026-03,162.22
PLANT-03,MAT-1001,2026-04,165.98
PLANT-03,MAT-1001,2026-05,164.16
PLANT-03,MAT-1001,2026-06,169.58
PLANT-03,MAT-1001,2026-07,166.08
PLANT-03,MAT-1001,2026-08,173.21
PLANT-03,MAT-1001,2026-09,167.96
PLANT-03,MAT-1001,2026-10,176.86
PLANT-03,MAT-1001,2026-11,169.82
PLANT-03,MAT-1001,2026-12,175.43
PLANT-03,MAT-2004,2026-01,188.31
PLANT-03,MAT-2004,2026-02,190.61
PLANT-03,MAT-2004,2026-03,190.14
PLANT-03,MAT-2004,2026-04,194.32
PLANT-03,MAT-2004,2026-05,191.94
PLANT-03,MAT-2004,2026-06,198.06
PLANT-03,MAT-2004,2026-07,193.72
PLANT-03,MAT-2004,2026-08,201.83
PLANT-03,MAT-2004,2026-09,195.46
PLANT-03,MAT-2004,2026-10,205.62
PLANT-03,MAT-2004,2026-11,197.18
PLANT-03,MAT-2004,2026-12,203.49
PLANT-03,MAT-3098,2026-01,123.45
PLANT-03,MAT-3098,2026-02,125.43
PLANT-03,MAT-3098,2026-03,125.6
PLANT-03,MAT-3098,2026-04,128.82
PLANT-03,MAT-3098,2026-05,127.73
PLANT-03,MAT-3098,2026-06,132.23
PLANT-03,MAT-3098,2026-07,129.83
PLANT-03,MAT-3098,2026-08,135.67
PLANT-03,MAT-3098,2026-09,131.9
PLANT-03,MAT-3098,2026-10,139.14
PLANT-03,MAT-3098,2026-11,133.94
PLANT-03,MAT-3098,2026-12,138.63
PLANT-03,MAT-4120,2026-01,243.28
PLANT-03,MAT-4120,2026-02,245.86
PLANT-03,MAT-4120,2026-03,244.83
PLANT-03,MAT-4120,2026-04,249.84
PLANT-03,MAT-4120,2026-05,246.36
PLANT-03,MAT-4120,2026-06,253.86
PLANT-03,MAT-4120,2026-07,247.86
PLANT-03,MAT-4120,2026-08,257.9
PLANT-03,MAT-4120,2026-09,249.33
PLANT-03,MAT-4120,2026-10,261.97
PLANT-03,MAT-4120,2026-11,250.78
PLANT-03,MAT-4120,2026-12,258.46
PLANT-03,MAT-5185,2026-01,72.85
PLANT-03,MAT-5185,2026-02,74.58
PLANT-03,MAT-5185,2026-03,75.26
PLANT-03,MAT-5185,2026-04,77.71
PLANT-03,MAT-5185,2026-05,77.64
PLANT-03,MAT-5185,2026-06,80.87
PLANT-03,MAT-5185,2026-07,79.99
PLANT-03,MAT-5185,2026-08,84.06
PLANT-03,MAT-5185,2026-09,82.31
PLANT-03,MAT-5185,2026-10,87.28
PLANT-03,MAT-5185,2026-11,84.61
PLANT-03,MAT-5185,2026-12,88.03
PLANT-04,MAT-1001,2026-01,165.54
PLANT-04,MAT-1001,2026-02,167.73
PLANT-04,MAT-1001,2026-03,167.48
PLANT-04,MAT-1001,2026-04,171.33
PLANT-04,MAT-1001,2026-05,169.4
PLANT-04,MAT-1001,2026-06,174.95
PLANT-04,MAT-1001,2026-07,171.29
PLANT-04,MAT-1001,2026-08,178.6
PLANT-04,MAT-1001,2026-09,173.15
PLANT-04,MAT-1001,2026-10,182.28
PLANT-04,MAT-1001,2026-11,174.98
PLANT-04,MAT-1001,2026-12,180.72
PLANT-04,MAT-2004,2026-01,193.6
PLANT-04,MAT-2004,2026-02,195.93
