Ship to,Ship to ID,Distribution Cost
Northstar Manufacturing BV - Rotterdam Plant,SHIP-001-NL,13.5
Northstar Manufacturing BV - Antwerp DC,SHIP-001-BE,14.88
HelioPack GmbH - Hamburg Site,SHIP-014-DE,20.2
HelioPack GmbH - Poznan Warehouse,SHIP-014-PL,24.1
Atlas Components SA - Lyon Warehouse,SHIP-027-FR,36.25
Atlas Components SA - Antwerp DC,SHIP-027-BE,24.61
Baltic Industrial Group - Kaunas Plant,SHIP-038-LT,41402.0
Baltic Industrial Group - Tallinn Hub,SHIP-038-EE,44852.0
Iberia Consumer Goods SL - Valencia Site,SHIP-052-ES,205.0
Iberia Consumer Goods SL - Porto DC,SHIP-052-PT,193.4
Nordic Materials AB - Malmo Plant,SHIP-073-SE,20.22
Nordic Materials AB - Aarhus Hub,SHIP-073-DK,17.82
