Period,Currency,Rate
2026-01,USD,1.0
2026-01,EUR,0.92
2026-01,CAD,1.37
2026-01,KRW,1380.0
2026-01,CNY,7.25
2026-02,USD,1.0
2026-02,EUR,0.9246
2026-02,CAD,1.3768
2026-02,KRW,1386.9
2026-02,CNY,7.2862
2026-03,USD,1.0
2026-03,EUR,0.9154
2026-03,CAD,1.3632
2026-03,KRW,1373.1
2026-03,CNY,7.2138
2026-04,USD,1.0
2026-04,EUR,0.9292
2026-04,CAD,1.3837
2026-04,KRW,1393.8
2026-04,CNY,7.3225
2026-05,USD,1.0
2026-05,EUR,0.9108
2026-05,CAD,1.3563
2026-05,KRW,1366.2
2026-05,CNY,7.1775
2026-06,USD,1.0
2026-06,EUR,0.9338
2026-06,CAD,1.3905
2026-06,KRW,1400.7
2026-06,CNY,7.3587
2026-07,USD,1.0
2026-07,EUR,0.9062
2026-07,CAD,1.3495
2026-07,KRW,1359.3
2026-07,CNY,7.1413
2026-08,USD,1.0
2026-08,EUR,0.9384
2026-08,CAD,1.3974
2026-08,KRW,1407.6
2026-08,CNY,7.395
2026-09,USD,1.0
2026-09,EUR,0.9016
2026-09,CAD,1.3426
2026-09,KRW,1352.4
2026-09,CNY,7.105
2026-10,USD,1.0
2026-10,EUR,0.943
2026-10,CAD,1.4042
2026-10,KRW,1414.5
2026-10,CNY,7.4312
2026-11,USD,1.0
2026-11,EUR,0.897
2026-11,CAD,1.3357
2026-11,KRW,1345.5
2026-11,CNY,7.0687
2026-12,USD,1.0
2026-12,CAD,1.37
2026-12,KRW,1380.0
2026-12,CNY,7.25
