Plant,Material ID,Period,Cost
PLANT-01,MAT-1001,2026-01,157.25
PLANT-01,MAT-1001,2026-02,158.75
PLANT-01,MAT-1001,2026-03,160.25
PLANT-01,MAT-1001,2026-04,161.75
PLANT-01,MAT-1001,2026-05,163.25
PLANT-01,MAT-1001,2026-06,164.75
PLANT-01,MAT-1001,2026-07,166.25
PLANT-01,MAT-1001,2026-08,167.75
PLANT-01,MAT-1001,2026-09,169.25
PLANT-01,MAT-1001,2026-10,170.75
PLANT-01,MAT-1001,2026-11,172.25
PLANT-01,MAT-1001,2026-12,173.75
PLANT-01,MAT-2004,2026-01,187.75
PLANT-01,MAT-2004,2026-02,189.25
PLANT-01,MAT-2004,2026-03,190.75
PLANT-01,MAT-2004,2026-04,192.25
PLANT-01,MAT-2004,2026-05,193.75
PLANT-01,MAT-2004,2026-06,195.25
PLANT-01,MAT-2004,2026-07,196.75
PLANT-01,MAT-2004,2026-08,198.25
PLANT-01,MAT-2004,2026-09,199.75
PLANT-01,MAT-2004,2026-10,201.25
PLANT-01,MAT-2004,2026-11,202.75
PLANT-01,MAT-2004,2026-12,204.25
PLANT-01,MAT-3098,2026-01,117.25
PLANT-01,MAT-3098,2026-02,118.75
PLANT-01,MAT-3098,2026-03,120.25
PLANT-01,MAT-3098,2026-04,121.75
PLANT-01,MAT-3098,2026-05,123.25
PLANT-01,MAT-3098,2026-06,124.75
PLANT-01,MAT-3098,2026-07,126.25
PLANT-01,MAT-3098,2026-08,127.75
PLANT-01,MAT-3098,2026-09,129.25
PLANT-01,MAT-3098,2026-10,130.75
PLANT-01,MAT-3098,2026-11,132.25
PLANT-01,MAT-3098,2026-12,133.75
PLANT-01,MAT-4120,2026-01,247.50
PLANT-01,MAT-4120,2026-02,249.00
PLANT-01,MAT-4120,2026-03,250.50
PLANT-01,MAT-4120,2026-04,252.00
PLANT-01,MAT-4120,2026-05,253.50
PLANT-01,MAT-4120,2026-06,255.00
PLANT-01,MAT-4120,2026-07,256.50
PLANT-01,MAT-4120,2026-08,258.00
PLANT-01,MAT-4120,2026-09,259.50
PLANT-01,MAT-4120,2026-10,261.00
PLANT-01,MAT-4120,2026-11,262.50
PLANT-01,MAT-4120,2026-12,264.00
PLANT-01,MAT-5185,2026-01,62.25
PLANT-01,MAT-5185,2026-02,63.75
PLANT-01,MAT-5185,2026-03,65.25
PLANT-01,MAT-5185,2026-04,66.75
PLANT-01,MAT-5185,2026-05,68.25
PLANT-01,MAT-5185,2026-06,69.75
PLANT-01,MAT-5185,2026-07,71.25
PLANT-01,MAT-5185,2026-08,72.75
PLANT-01,MAT-5185,2026-09,74.25
