Sold to ID,Ship to ID,Material ID,Price
CUST-001,SHIP-001-NL,MAT-1001,256.00
CUST-001,SHIP-001-BE,MAT-1001,257.25
CUST-014,SHIP-014-DE,MAT-1001,304.00
CUST-014,SHIP-014-PL,MAT-1001,302.75
CUST-027,SHIP-027-FR,MAT-1001,348.25
CUST-027,SHIP-027-BE,MAT-1001,345.75
CUST-038,SHIP-038-LT,MAT-1001,386.75
CUST-038,SHIP-038-EE,MAT-1001,384.25
CUST-052,SHIP-052-ES,MAT-1001,433.25
CUST-052,SHIP-052-PT,MAT-1001,435.75
CUST-073,SHIP-073-SE,MAT-1001,510.50
CUST-073,SHIP-073-DK,MAT-1001,505.50
CUST-001,SHIP-001-NL,MAT-2004,321.50
CUST-001,SHIP-001-BE,MAT-2004,322.75
CUST-014,SHIP-014-DE,MAT-2004,369.50
CUST-014,SHIP-014-PL,MAT-2004,368.25
CUST-027,SHIP-027-FR,MAT-2004,413.75
CUST-027,SHIP-027-BE,MAT-2004,411.25
CUST-038,SHIP-038-LT,MAT-2004,452.25
CUST-038,SHIP-038-EE,MAT-2004,449.75
CUST-052,SHIP-052-ES,MAT-2004,498.75
CUST-052,SHIP-052-PT,MAT-2004,501.25
CUST-073,SHIP-073-SE,MAT-2004,576.00
CUST-073,SHIP-073-DK,MAT-2004,571.00
CUST-001,SHIP-001-NL,MAT-3098,191.00
CUST-001,SHIP-001-BE,MAT-3098,192.25
CUST-014,SHIP-014-DE,MAT-3098,239.00
CUST-014,SHIP-014-PL,MAT-3098,237.75
CUST-027,SHIP-027-FR,MAT-3098,283.25
CUST-027,SHIP-027-BE,MAT-3098,280.75
CUST-038,SHIP-038-LT,MAT-3098,321.75
CUST-038,SHIP-038-EE,MAT-3098,319.25
CUST-052,SHIP-052-ES,MAT-3098,368.25
CUST-052,SHIP-052-PT,MAT-3098,370.75
CUST-073,SHIP-073-SE,MAT-3098,445.50
CUST-073,SHIP-073-DK,MAT-3098,440.50
CUST-001,SHIP-001-NL,MAT-4120,426.25
CUST-001,SHIP-001-BE,MAT-4120,427.50
CUST-014,SHIP-014-DE,MAT-4120,474.25
CUST-014,SHIP-014-PL,MAT-4120,473.00
CUST-027,SHIP-027-FR,MAT-4120,518.50
CUST-027,SHIP-027-BE,MAT-4120,516.00
CUST-038,SHIP-038-LT,MAT-4120,557.00
CUST-038,SHIP-038-EE,MAT-4120,554.50
CUST-052,SHIP-052-ES,MAT-4120,603.50
CUST-052,SHIP-052-PT,MAT-4120,606.00
CUST-073,SHIP-073-SE,MAT-4120,680.75
CUST-073,SHIP-073-DK,MAT-4120,675.75
CUST-001,SHIP-001-NL,MAT-5185,101.00
CUST-001,SHIP-001-BE,MAT-5185,102.25
CUST-014,SHIP-014-DE,MAT-5185,149.00
CUST-014,SHIP-014-PL,MAT-5185,147.75
CUST-027,SHIP-027-FR,MAT-5185,193.25
CUST-027,SHIP-027-BE,MAT-5185,190.75
CUST-038,SHIP-038-LT,MAT-5185,231.75
CUST-038,SHIP-038-EE,MAT-5185,229.25
CUST-052,SHIP-052-ES,MAT-5185,278.25
CUST-052,SHIP-052-PT,MAT-5185,280.75
CUST-073,SHIP-073-SE,MAT-5185,355.50
CUST-073,SHIP-073-DK,MAT-5185,350.50
