Sold to ID,Ship to ID,Material ID,Price
CUST-001,SHIP-001-BE,MAT-1001,236.67
CUST-014,SHIP-014-DE,MAT-1001,304.0
CUST-014,SHIP-014-PL,MAT-1001,302.75
CUST-027,SHIP-027-FR,MAT-1001,477.1
CUST-027,SHIP-027-BE,MAT-1001,473.68
CUST-038,SHIP-038-LT,MAT-1001,533715.0
CUST-038,SHIP-038-EE,MAT-1001,530265.0
CUST-052,SHIP-052-ES,MAT-1001,3141.06
CUST-052,SHIP-052-PT,MAT-1001,3159.19
CUST-073,SHIP-073-SE,MAT-1001,469.66
CUST-073,SHIP-073-DK,MAT-1001,465.06
CUST-001,SHIP-001-NL,MAT-2004,295.78
CUST-001,SHIP-001-BE,MAT-2004,296.93
CUST-014,SHIP-014-DE,MAT-2004,369.5
CUST-014,SHIP-014-PL,MAT-2004,368.25
CUST-027,SHIP-027-FR,MAT-2004,566.84
CUST-027,SHIP-027-BE,MAT-2004,563.41
CUST-038,SHIP-038-LT,MAT-2004,624105.0
CUST-038,SHIP-038-EE,MAT-2004,620655.0
CUST-052,SHIP-052-ES,MAT-2004,3615.94
CUST-052,SHIP-052-PT,MAT-2004,3634.06
CUST-073,SHIP-073-SE,MAT-2004,529.92
CUST-073,SHIP-073-DK,MAT-2004,525.32
CUST-001,SHIP-001-NL,MAT-3098,175.72
CUST-001,SHIP-001-BE,MAT-3098,176.87
CUST-014,SHIP-014-DE,MAT-3098,239.0
CUST-014,SHIP-014-PL,MAT-3098,237.75
CUST-027,SHIP-027-FR,MAT-3098,388.05
CUST-027,SHIP-027-BE,MAT-3098,384.63
CUST-038,SHIP-038-LT,MAT-3098,444015.0
CUST-038,SHIP-038-EE,MAT-3098,440565.0
CUST-052,SHIP-052-ES,MAT-3098,2669.81
CUST-052,SHIP-052-PT,MAT-3098,2687.94
CUST-073,SHIP-073-SE,MAT-3098,409.86
CUST-073,SHIP-073-DK,MAT-3098,405.26
CUST-001,SHIP-001-NL,MAT-4120,392.15
CUST-001,SHIP-001-BE,MAT-4120,393.3
CUST-014,SHIP-014-DE,MAT-4120,474.25
CUST-014,SHIP-014-PL,MAT-4120,473.0
CUST-027,SHIP-027-FR,MAT-4120,710.35
CUST-027,SHIP-027-BE,MAT-4120,706.92
CUST-038,SHIP-038-LT,MAT-4120,768660.0
CUST-038,SHIP-038-EE,MAT-4120,765210.0
CUST-052,SHIP-052-ES,MAT-4120,4375.38
CUST-052,SHIP-052-PT,MAT-4120,4393.5
CUST-073,SHIP-073-SE,MAT-4120,626.29
CUST-073,SHIP-073-DK,MAT-4120,621.69
CUST-001,SHIP-001-NL,MAT-5185,92.92
CUST-001,SHIP-001-BE,MAT-5185,94.07
CUST-014,SHIP-014-DE,MAT-5185,149.0
CUST-014,SHIP-014-PL,MAT-5185,147.75
CUST-027,SHIP-027-FR,MAT-5185,264.75
CUST-027,SHIP-027-BE,MAT-5185,261.33
CUST-038,SHIP-038-LT,MAT-5185,319815.0
CUST-038,SHIP-038-EE,MAT-5185,316365.0
CUST-052,SHIP-052-ES,MAT-5185,2017.31
CUST-052,SHIP-052-PT,MAT-5185,2035.44
CUST-073,SHIP-073-SE,MAT-5185,327.06
