Plant,Material ID,Period,Cost,Date
PLANT-01,MAT-1001,2026-01,144.67,2026-01
PLANT-01,MAT-1001,2026-02,146.78,2026-02
PLANT-01,MAT-1001,2026-03,146.69,2026-03
PLANT-01,MAT-1001,2026-04,150.3,2026-04
PLANT-01,MAT-1001,2026-05,148.69,2026-05
PLANT-01,MAT-1001,2026-06,153.84,2026-06
PLANT-01,MAT-1001,2026-07,150.66,2026-07
PLANT-01,MAT-1001,2026-08,157.42,2026-08
PLANT-01,MAT-1001,2026-09,152.6,2026-09
PLANT-01,MAT-1001,2026-10,161.02,2026-10
PLANT-01,MAT-1001,2026-11,154.51,2026-11
PLANT-01,MAT-1001,2026-12,159.85,2026-12
PLANT-01,MAT-2004,2026-01,172.73,2026-01
PLANT-01,MAT-2004,2026-02,174.98,2026-02
PLANT-01,MAT-2004,2026-03,174.61,2026-03
PLANT-01,MAT-2004,2026-04,178.64,2026-04
PLANT-01,MAT-2004,2026-05,176.47,2026-05
PLANT-01,MAT-2004,2026-06,182.32,2026-06
PLANT-01,MAT-2004,2026-07,178.29,2026-07
PLANT-01,MAT-2004,2026-08,186.04,2026-08
PLANT-01,MAT-2004,2026-09,180.09,2026-09
PLANT-01,MAT-2004,2026-10,189.78,2026-10
PLANT-01,MAT-2004,2026-11,181.87,2026-11
PLANT-01,MAT-2004,2026-12,187.91,2026-12
PLANT-01,MAT-3098,2026-01,107.87,2026-01
PLANT-01,MAT-3098,2026-02,109.8,2026-02
PLANT-01,MAT-3098,2026-03,110.08,2026-03
PLANT-01,MAT-3098,2026-04,113.13,2026-04
PLANT-01,MAT-3098,2026-05,112.26,2026-05
PLANT-01,MAT-3098,2026-06,116.49,2026-06
PLANT-01,MAT-3098,2026-07,114.41,2026-07
PLANT-01,MAT-3098,2026-08,119.88,2026-08
PLANT-01,MAT-3098,2026-09,116.53,2026-09
PLANT-01,MAT-3098,2026-10,123.3,2026-10
PLANT-01,MAT-3098,2026-11,118.63,2026-11
PLANT-01,MAT-3098,2026-12,123.05,2026-12
PLANT-01,MAT-4120,2026-01,227.7,2026-01
PLANT-01,MAT-4120,2026-02,230.23,2026-02
PLANT-01,MAT-4120,2026-03,229.31,2026-03
PLANT-01,MAT-4120,2026-04,234.16,2026-04
PLANT-01,MAT-4120,2026-05,230.89,2026-05
PLANT-01,MAT-4120,2026-06,238.12,2026-06
PLANT-01,MAT-4120,2026-07,232.44,2026-07
PLANT-01,MAT-4120,2026-08,242.11,2026-08
PLANT-01,MAT-4120,2026-09,233.97,2026-09
PLANT-01,MAT-4120,2026-10,246.12,2026-10
PLANT-01,MAT-4120,2026-11,235.46,2026-11
PLANT-01,MAT-4120,2026-12,242.88,2026-12
PLANT-01,MAT-5185,2026-01,57.27,2026-01
PLANT-01,MAT-5185,2026-02,58.94,2026-02
PLANT-01,MAT-5185,2026-03,59.73,2026-03
PLANT-01,MAT-5185,2026-04,62.02,2026-04
PLANT-01,MAT-5185,2026-05,62.16,2026-05
PLANT-01,MAT-5185,2026-06,65.13,2026-06
PLANT-01,MAT-5185,2026-07,64.57,2026-07
PLANT-01,MAT-5185,2026-08,68.27,2026-08
PLANT-01,MAT-5185,2026-09,66.94,2026-09
PLANT-01,MAT-5185,2026-10,71.43,2026-10
PLANT-01,MAT-5185,2026-11,69.29,2026-11
PLANT-01,MAT-5185,2026-12,72.45,2026-12
PLANT-02,MAT-1001,2026-01,149.96,2026-01
PLANT-02,MAT-1001,2026-02,152.1,2026-02
PLANT-02,MAT-1001,2026-03,151.96,2026-03
PLANT-02,MAT-1001,2026-04,155.64,2026-04
PLANT-02,MAT-1001,2026-05,153.93,2026-05
PLANT-02,MAT-1001,2026-06,159.21,2026-06
PLANT-02,MAT-1001,2026-07,155.87,2026-07
PLANT-02,MAT-1001,2026-08,162.81,2026-08
PLANT-02,MAT-1001,2026-09,157.78,2026-09
PLANT-02,MAT-1001,2026-10,166.44,2026-10
PLANT-02,MAT-1001,2026-11,159.67,2026-11
PLANT-02,MAT-1001,2026-12,165.14,2026-12
PLANT-02,MAT-2004,2026-01,178.02,2026-01
PLANT-02,MAT-2004,2026-02,180.3,2026-02
PLANT-02,MAT-2004,2026-03,179.88,2026-03
PLANT-02,MAT-2004,2026-04,183.98,2026-04
PLANT-02,MAT-2004,2026-05,181.7,2026-05
PLANT-02,MAT-2004,2026-06,187.69,2026-06
PLANT-02,MAT-2004,2026-07,183.51,2026-07
PLANT-02,MAT-2004,2026-08,191.43,2026-08
PLANT-02,MAT-2004,2026-09,185.28,2026-09
PLANT-02,MAT-2004,2026-10,195.2,2026-10
PLANT-02,MAT-2004,2026-11,187.02,2026-11
PLANT-02,MAT-2004,2026-12,193.2,2026-12
PLANT-02,MAT-3098,2026-01,113.16,2026-01
PLANT-02,MAT-3098,2026-02,115.11,2026-02
PLANT-02,MAT-3098,2026-03,115.34,2026-03
PLANT-02,MAT-3098,2026-04,118.47,2026-04
PLANT-02,MAT-3098,2026-05,117.49,2026-05
PLANT-02,MAT-3098,2026-06,121.86,2026-06
PLANT-02,MAT-3098,2026-07,119.62,2026-07
PLANT-02,MAT-3098,2026-08,125.28,2026-08
PLANT-02,MAT-3098,2026-09,121.72,2026-09
PLANT-02,MAT-3098,2026-10,128.72,2026-10
PLANT-02,MAT-3098,2026-11,123.79,2026-11
PLANT-02,MAT-3098,2026-12,128.34,2026-12
PLANT-02,MAT-4120,2026-01,232.99,2026-01
PLANT-02,MAT-4120,2026-02,235.54,2026-02
PLANT-02,MAT-4120,2026-03,234.57,2026-03
PLANT-02,MAT-4120,2026-04,239.5,2026-04
PLANT-02,MAT-4120,2026-05,236.12,2026-05
PLANT-02,MAT-4120,2026-06,243.49,2026-06
PLANT-02,MAT-4120,2026-07,237.65,2026-07
PLANT-02,MAT-4120,2026-08,247.5,2026-08
PLANT-02,MAT-4120,2026-09,239.15,2026-09
PLANT-02,MAT-4120,2026-10,251.55,2026-10
PLANT-02,MAT-4120,2026-11,240.62,2026-11
PLANT-02,MAT-4120,2026-12,248.17,2026-12
PLANT-02,MAT-5185,2026-01,62.56,2026-01
PLANT-02,MAT-5185,2026-02,64.26,2026-02
PLANT-02,MAT-5185,2026-03,64.99,2026-03
PLANT-02,MAT-5185,2026-04,67.37,2026-04
PLANT-02,MAT-5185,2026-05,67.4,2026-05
PLANT-02,MAT-5185,2026-06,70.5,2026-06
PLANT-02,MAT-5185,2026-07,69.78,2026-07
PLANT-02,MAT-5185,2026-08,73.66,2026-08
PLANT-02,MAT-5185,2026-09,72.13,2026-09
PLANT-02,MAT-5185,2026-10,76.85,2026-10
PLANT-02,MAT-5185,2026-11,74.45,2026-11
PLANT-02,MAT-5185,2026-12,77.74,2026-12
PLANT-03,MAT-1001,2026-01,155.25,2026-01
PLANT-03,MAT-1001,2026-02,157.41,2026-02
PLANT-03,MAT-1001,2026-03,157.22,2026-03
PLANT-03,MAT-1001,2026-04,160.98,2026-04
PLANT-03,MAT-1001,2026-05,159.16,2026-05
PLANT-03,MAT-1001,2026-06,164.58,2026-06
PLANT-03,MAT-1001,2026-07,161.08,2026-07
PLANT-03,MAT-1001,2026-08,168.21,2026-08
PLANT-03,MAT-1001,2026-09,162.96,2026-09
PLANT-03,MAT-1001,2026-10,171.86,2026-10
PLANT-03,MAT-1001,2026-11,164.82,2026-11
PLANT-03,MAT-1001,2026-12,170.43,2026-12
PLANT-03,MAT-2004,2026-01,183.31,2026-01
PLANT-03,MAT-2004,2026-02,185.61,2026-02
PLANT-03,MAT-2004,2026-03,185.14,2026-03
PLANT-03,MAT-2004,2026-04,189.32,2026-04
PLANT-03,MAT-2004,2026-05,186.94,2026-05
PLANT-03,MAT-2004,2026-06,193.06,2026-06
PLANT-03,MAT-2004,2026-07,188.72,2026-07
PLANT-03,MAT-2004,2026-08,196.83,2026-08
PLANT-03,MAT-2004,2026-09,190.46,2026-09
PLANT-03,MAT-2004,2026-10,200.62,2026-10
PLANT-03,MAT-2004,2026-11,192.18,2026-11
PLANT-03,MAT-2004,2026-12,198.49,2026-12
PLANT-03,MAT-3098,2026-01,118.45,2026-01
PLANT-03,MAT-3098,2026-02,120.43,2026-02
PLANT-03,MAT-3098,2026-03,120.6,2026-03
PLANT-03,MAT-3098,2026-04,123.82,2026-04
PLANT-03,MAT-3098,2026-05,122.73,2026-05
PLANT-03,MAT-3098,2026-06,127.23,2026-06
PLANT-03,MAT-3098,2026-07,124.83,2026-07
PLANT-03,MAT-3098,2026-08,130.67,2026-08
PLANT-03,MAT-3098,2026-09,126.9,2026-09
PLANT-03,MAT-3098,2026-10,134.14,2026-10
PLANT-03,MAT-3098,2026-11,128.94,2026-11
PLANT-03,MAT-3098,2026-12,133.63,2026-12
PLANT-03,MAT-4120,2026-01,238.28,2026-01
PLANT-03,MAT-4120,2026-02,240.86,2026-02
PLANT-03,MAT-4120,2026-03,239.83,2026-03
PLANT-03,MAT-4120,2026-04,244.84,2026-04
PLANT-03,MAT-4120,2026-05,241.36,2026-05
PLANT-03,MAT-4120,2026-06,248.86,2026-06
PLANT-03,MAT-4120,2026-07,242.86,2026-07
PLANT-03,MAT-4120,2026-08,252.9,2026-08
PLANT-03,MAT-4120,2026-09,244.33,2026-09
PLANT-03,MAT-4120,2026-10,256.97,2026-10
PLANT-03,MAT-4120,2026-11,245.78,2026-11
PLANT-03,MAT-4120,2026-12,253.46,2026-12
PLANT-03,MAT-5185,2026-01,67.85,2026-01
PLANT-03,MAT-5185,2026-02,69.58,2026-02
PLANT-03,MAT-5185,2026-03,70.26,2026-03
PLANT-03,MAT-5185,2026-04,72.71,2026-04
PLANT-03,MAT-5185,2026-05,72.64,2026-05
PLANT-03,MAT-5185,2026-06,75.87,2026-06
PLANT-03,MAT-5185,2026-07,74.99,2026-07
PLANT-03,MAT-5185,2026-08,79.06,2026-08
PLANT-03,MAT-5185,2026-09,77.31,2026-09
PLANT-03,MAT-5185,2026-10,82.28,2026-10
PLANT-03,MAT-5185,2026-11,79.61,2026-11
PLANT-03,MAT-5185,2026-12,83.03,2026-12
PLANT-04,MAT-1001,2026-01,160.54,2026-01
PLANT-04,MAT-1001,2026-02,162.73,2026-02
PLANT-04,MAT-1001,2026-03,162.48,2026-03
